Name,team,P,G,PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,SBAPct,PO_mean,A_mean,TC_mean,E_mean,CI_mean,PB_mean,SBA_mean,CSB_mean,IDP_mean,TP_mean,SBAPct_mean,fld_pct
A. Chacon,Westcliff,SS,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A. Dupre,Champion Chris.,3B,1,2,0,2,0,0,0,0,0,0,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A. Quezada,Westcliff,LF,1,4,0,4,0,0,0,0,0,0,0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A. Spriggs,Southern-N.O.,C,1,5,1,6,0,0,0,2,1,0,0,0.67,5.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.67,1.0
A.J. DeMastrie,Dartmouth,C,8,76,13,89,0,0,3,8,3,1,0,4.17,9.5,1.62,11.12,0.0,0.0,0.38,1.0,0.38,0.12,0.0,0.52,1.0
A.J. Taylor,Lamar University,SS,49,76,127,209,6,0,0,0,0,20,0,0.0,1.55,2.59,4.27,0.12,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.97
AJ Anderson,Alabama A&M,SS,9,9,19,31,3,0,0,0,0,2,0,0.0,1.0,2.11,3.44,0.33,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.9
AJ Aschettino,Northeastern,1B,5,16,5,22,1,0,0,0,0,4,0,0.0,3.2,1.0,4.4,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.95
AJ Bianchina,Pepperdine,PH/2B,6,2,4,7,1,0,0,0,0,1,0,0.0,0.33,0.67,1.17,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.86
AJ Brotz,Marist,SS,5,11,3,14,0,0,0,0,0,0,0,0.0,2.2,0.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AJ DiAddezio Jr.,West Chester,SS,1,3,1,4,0,0,0,0,0,0,0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AJ Evasco,Kansas St.,RF,48,76,1,78,1,0,0,0,0,0,0,0.0,1.58,0.02,1.62,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
AJ Garcia,Bradley,CF,50,108,5,116,3,0,0,0,0,1,0,0.0,2.16,0.1,2.32,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.97
AJ Goytia,Texas Tech,C,4,16,2,18,0,0,0,0,0,0,0,0.0,4.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AJ Gracia,Virginia,CF,49,108,3,112,1,0,0,0,0,0,0,0.0,2.2,0.06,2.29,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
