Name,team,G,IP,H,R,ER,BB,SO,BF,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,KL,TUER,pickoffs,IP_mean,H_mean,R_mean,ER_mean,BB_mean,SO_mean,BF_mean,2B-A_mean,3B-A_mean,Bk_mean,HR-A_mean,WP_mean,HB_mean,IBB_mean,Inh Run_mean,Inh Run Score_mean,SHA_mean,SFA_mean,KL_mean,TUER_mean,pickoffs_mean,ERA,WHIP,K/9
A. Franco,Southwest (NM),1,1.2,2,2,2,2,1,9,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1.2,2.0,2.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,3.33,7.5
A.J. Colarusso,Boston College,4,20.2,21,11,6,8,19,94,1,1,1,2,0,2,0,0,0,1,2,1,0,1,5.05,5.25,2.75,1.5,2.0,4.75,23.5,0.25,0.25,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.25,2.67,1.44,8.47
A.J. Hiestand,Eastern Ill.,1,1.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Kostic,Lamar University,15,29.6,32,20,18,26,26,159,6,0,0,2,4,7,0,13,6,2,0,4,0,2,1.97,2.13,1.33,1.2,1.73,1.73,10.6,0.4,0.0,0.0,0.13,0.27,0.47,0.0,0.87,0.4,0.13,0.0,0.27,0.0,0.13,5.47,1.96,7.91
A.J. McAninch,Marshall,3,2.2,3,4,4,2,2,15,2,0,0,1,0,2,0,5,0,1,0,1,0,0,0.73,1.0,1.33,1.33,0.67,0.67,5.0,0.67,0.0,0.0,0.33,0.0,0.67,0.0,1.67,0.0,0.33,0.0,0.33,0.0,0.0,16.36,2.27,8.18
AC Cabrera,San Francisco,1,1.0,4,3,3,1,0,8,3,0,0,0,3,1,0,0,0,0,0,0,0,0,1.0,4.0,3.0,3.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0
AJ Camp,Charlotte,3,5.0,6,5,5,2,6,24,0,0,0,0,0,2,0,8,4,1,1,1,0,0,1.67,2.0,1.67,1.67,0.67,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,2.67,1.33,0.33,0.33,0.33,0.0,0.0,9.0,1.6,10.8
AJ Ciscar,Miami (FL),2,13.1,15,10,6,1,10,57,2,0,0,4,0,1,0,0,0,0,1,2,0,0,6.55,7.5,5.0,3.0,0.5,5.0,28.5,1.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,4.12,1.22,6.87
AJ Dallmayer,Ohio,4,8.4,16,15,12,10,14,59,4,2,0,0,5,3,0,1,1,0,0,6,0,0,2.1,4.0,3.75,3.0,2.5,3.5,14.75,1.0,0.5,0.0,0.0,1.25,0.75,0.0,0.25,0.25,0.0,0.0,1.5,0.0,0.0,12.86,3.1,15.0
AJ Doll,North Dakota St.,1,0.1,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.1,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,90.0
