team,G,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,KL,R_mean,AB_mean,H_mean,2B_mean,3B_mean,TB_mean,HR_mean,RBI_mean,BB_mean,HBP_mean,SF_mean,SH_mean,K_mean,OPP DP_mean,CS_mean,Picked_mean,SB_mean,IBB_mean,KL_mean,PA,BA,OBP,SLG,OPS,K_rate,BB_rate
A&M-Corpus Christi,12,64,399,92,16,1,134,8,53,44,21,1,9,100,8,4,2,16,1,7,0.49,3.05,0.7,0.12,0.01,1.02,0.06,0.4,0.34,0.16,0.01,0.07,0.76,0.06,0.03,0.02,0.12,0.01,0.05,475,0.23,0.33,0.34,0.67,0.21,0.09
Abilene Christian,39,269,1321,370,77,2,640,63,255,215,66,10,17,392,20,6,3,19,11,99,0.63,3.11,0.87,0.18,0.0,1.51,0.15,0.6,0.51,0.16,0.02,0.04,0.92,0.05,0.01,0.01,0.04,0.03,0.23,1640,0.28,0.4,0.48,0.88,0.24,0.14
Air Force,24,239,818,268,65,7,449,34,212,106,42,9,0,173,16,11,6,63,3,44,0.91,3.12,1.02,0.25,0.03,1.71,0.13,0.81,0.4,0.16,0.03,0.0,0.66,0.06,0.04,0.02,0.24,0.01,0.17,978,0.33,0.43,0.55,0.98,0.18,0.11
Akron,33,184,1054,270,48,2,415,31,166,163,57,7,18,256,20,16,4,73,5,76,0.51,2.94,0.75,0.13,0.01,1.16,0.09,0.46,0.45,0.16,0.02,0.05,0.71,0.06,0.04,0.01,0.2,0.01,0.21,1304,0.26,0.38,0.39,0.77,0.2,0.13
Alabama,31,196,1012,259,57,5,440,38,186,143,52,14,11,263,17,5,3,42,6,73,0.62,3.22,0.82,0.18,0.02,1.4,0.12,0.59,0.46,0.17,0.04,0.04,0.84,0.05,0.02,0.01,0.13,0.02,0.23,1238,0.26,0.37,0.43,0.8,0.21,0.12
Alabama A&M,11,76,360,98,19,1,131,4,66,73,17,6,2,91,11,5,2,13,1,23,0.65,3.08,0.84,0.16,0.01,1.12,0.03,0.56,0.62,0.15,0.05,0.02,0.78,0.09,0.04,0.02,0.11,0.01,0.2,459,0.27,0.41,0.36,0.77,0.2,0.16
Alabama St.,10,50,311,75,15,0,99,3,43,40,15,1,4,83,7,5,2,6,0,27,0.48,2.96,0.71,0.14,0.0,0.94,0.03,0.41,0.38,0.14,0.01,0.04,0.79,0.07,0.05,0.02,0.06,0.0,0.26,371,0.24,0.35,0.32,0.6699999999999999,0.22,0.11
Alcorn,48,245,1460,359,59,10,477,13,213,200,87,9,16,396,26,24,16,89,0,95,0.44,2.63,0.65,0.11,0.02,0.86,0.02,0.38,0.36,0.16,0.02,0.03,0.71,0.05,0.04,0.03,0.16,0.0,0.17,1772,0.25,0.36,0.33,0.69,0.22,0.11
App State,41,322,1411,439,85,10,628,28,291,193,69,31,31,266,34,14,6,43,7,77,0.75,3.3,1.03,0.2,0.02,1.47,0.07,0.68,0.45,0.16,0.07,0.07,0.62,0.08,0.03,0.01,0.1,0.02,0.18,1742,0.31,0.4,0.45,0.8500000000000001,0.15,0.11
Arizona,16,91,538,128,27,5,213,16,81,72,12,7,3,145,12,4,0,14,1,24,0.55,3.26,0.78,0.16,0.03,1.29,0.1,0.49,0.44,0.07,0.04,0.02,0.88,0.07,0.02,0.0,0.08,0.01,0.15,633,0.24,0.33,0.4,0.73,0.23,0.12
Arizona St.,20,173,718,225,40,2,395,42,165,99,42,7,3,129,27,6,3,17,5,17,0.77,3.18,1.0,0.18,0.01,1.75,0.19,0.73,0.44,0.19,0.03,0.01,0.57,0.12,0.03,0.01,0.08,0.02,0.08,874,0.31,0.42,0.55,0.97,0.15,0.12
Ark.-Pine Bluff,6,53,179,61,9,4,81,1,47,44,9,4,1,33,5,4,2,6,0,8,0.76,2.56,0.87,0.13,0.06,1.16,0.01,0.67,0.63,0.13,0.06,0.01,0.47,0.07,0.06,0.03,0.09,0.0,0.11,237,0.34,0.48,0.45,0.9299999999999999,0.14,0.19
Arkansas,55,402,1839,507,102,6,885,88,368,283,42,24,8,515,35,12,5,80,6,137,0.7,3.2,0.88,0.18,0.01,1.54,0.15,0.64,0.49,0.07,0.04,0.01,0.9,0.06,0.02,0.01,0.14,0.01,0.24,2202,0.28,0.38,0.48,0.86,0.23,0.13
Arkansas St.,24,147,813,213,44,2,384,41,134,86,33,8,12,231,20,9,2,21,3,55,0.56,3.08,0.81,0.17,0.01,1.45,0.16,0.51,0.33,0.12,0.03,0.05,0.88,0.08,0.03,0.01,0.08,0.01,0.21,955,0.26,0.35,0.47,0.82,0.24,0.09
Army West Point,1,9,35,9,1,0,19,3,8,7,1,0,1,10,0,0,0,2,0,2,1.0,3.89,1.0,0.11,0.0,2.11,0.33,0.89,0.78,0.11,0.0,0.11,1.11,0.0,0.0,0.0,0.22,0.0,0.22,44,0.26,0.39,0.54,0.93,0.23,0.16
Auburn,53,372,1764,531,90,4,833,68,345,231,59,23,15,392,35,17,3,73,6,90,0.66,3.15,0.95,0.16,0.01,1.49,0.12,0.62,0.41,0.11,0.04,0.03,0.7,0.06,0.03,0.01,0.13,0.01,0.16,2098,0.3,0.39,0.47,0.86,0.19,0.11
Austin Peay,10,61,324,75,14,2,102,3,55,56,15,5,6,89,6,4,0,18,0,13,0.61,3.24,0.75,0.14,0.02,1.02,0.03,0.55,0.56,0.15,0.05,0.06,0.89,0.06,0.04,0.0,0.18,0.0,0.13,406,0.23,0.36,0.31,0.6699999999999999,0.22,0.14
BYU,16,103,567,168,36,4,263,17,90,71,21,3,1,143,15,2,2,16,0,16,0.63,3.48,1.03,0.22,0.02,1.61,0.1,0.55,0.44,0.13,0.02,0.01,0.88,0.09,0.01,0.01,0.1,0.0,0.1,663,0.3,0.39,0.46,0.8500000000000001,0.22,0.11
Ball St.,31,250,1093,333,54,12,546,45,230,125,41,15,3,215,16,13,2,52,0,46,0.59,2.6,0.79,0.13,0.03,1.3,0.11,0.55,0.3,0.1,0.04,0.01,0.51,0.04,0.03,0.0,0.12,0.0,0.11,1277,0.3,0.39,0.5,0.89,0.17,0.1
Baylor,16,102,510,141,26,5,243,22,93,85,30,4,8,158,15,4,5,22,4,31,0.57,2.85,0.79,0.15,0.03,1.36,0.12,0.52,0.47,0.17,0.02,0.04,0.88,0.08,0.02,0.03,0.12,0.02,0.17,641,0.28,0.4,0.48,0.88,0.25,0.14
