team,G,PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,SBAPct,PO_mean,A_mean,TC_mean,E_mean,CI_mean,PB_mean,SBA_mean,CSB_mean,IDP_mean,TP_mean,SBAPct_mean,fld_pct
A&M-Corpus Christi,12,306,86,401,9,0,4,12,3,16,0,5.25,2.34,0.66,3.06,0.07,0.0,0.03,0.09,0.02,0.12,0.0,0.04,0.98
Abilene Christian,39,985,288,1304,31,0,17,96,17,62,0,31.01,2.32,0.68,3.07,0.07,0.0,0.04,0.23,0.04,0.15,0.0,0.07,0.98
Air Force,24,589,202,807,16,0,2,19,10,54,0,9.77,2.25,0.77,3.08,0.06,0.0,0.01,0.07,0.04,0.21,0.0,0.04,0.98
Akron,33,818,295,1149,36,1,5,74,12,60,0,24.33,2.28,0.82,3.2,0.1,0.0,0.01,0.21,0.03,0.17,0.0,0.07,0.97
Alabama,31,801,247,1086,38,1,6,34,9,56,0,17.0,2.55,0.79,3.46,0.12,0.0,0.02,0.11,0.03,0.18,0.0,0.05,0.97
Alabama A&M,11,269,76,362,17,0,3,20,3,9,0,5.97,2.3,0.65,3.09,0.15,0.0,0.03,0.17,0.03,0.08,0.0,0.05,0.95
Alabama St.,10,240,67,322,15,0,4,18,0,15,0,7.0,2.29,0.64,3.07,0.14,0.0,0.04,0.17,0.0,0.14,0.0,0.07,0.95
Alcorn,48,1096,311,1485,78,1,33,119,17,60,0,40.57,1.97,0.56,2.68,0.14,0.0,0.06,0.21,0.03,0.11,0.0,0.07,0.95
App State,41,1068,347,1466,51,0,4,64,12,91,0,34.34,2.5,0.81,3.43,0.12,0.0,0.01,0.15,0.03,0.21,0.0,0.08,0.97
Arizona,16,416,104,531,11,0,5,24,3,26,0,12.67,2.52,0.63,3.22,0.07,0.0,0.03,0.15,0.02,0.16,0.0,0.08,0.98
Arizona St.,20,527,152,693,14,0,5,28,8,38,0,11.4,2.33,0.67,3.07,0.06,0.0,0.02,0.12,0.04,0.17,0.0,0.05,0.98
Ark.-Pine Bluff,6,137,33,180,10,0,2,14,1,18,0,5.75,1.96,0.47,2.57,0.14,0.0,0.03,0.2,0.01,0.26,0.0,0.08,0.94
Arkansas,55,1412,446,1906,48,1,4,45,9,108,0,22.58,2.46,0.78,3.32,0.08,0.0,0.01,0.08,0.02,0.19,0.0,0.04,0.97
Arkansas St.,24,623,202,837,12,0,0,27,4,48,0,14.3,2.36,0.77,3.17,0.05,0.0,0.0,0.1,0.02,0.18,0.0,0.05,0.99
Army West Point,1,27,10,37,0,0,0,1,0,3,0,1.0,3.0,1.11,4.11,0.0,0.0,0.0,0.11,0.0,0.33,0.0,0.11,1.0
Auburn,53,1323,341,1699,35,1,8,26,9,70,0,20.17,2.36,0.61,3.03,0.06,0.0,0.01,0.05,0.02,0.12,0.0,0.04,0.98
Austin Peay,10,258,87,358,13,1,2,14,0,28,0,6.0,2.58,0.87,3.58,0.13,0.01,0.02,0.14,0.0,0.28,0.0,0.06,0.96
BYU,16,412,135,558,11,0,1,14,12,41,0,5.58,2.53,0.83,3.42,0.07,0.0,0.01,0.09,0.07,0.25,0.0,0.03,0.98
Ball St.,31,782,261,1063,20,0,5,55,14,68,0,25.83,1.86,0.62,2.52,0.05,0.0,0.01,0.13,0.03,0.16,0.0,0.06,0.98
Baylor,16,406,127,545,12,0,4,5,2,39,0,3.5,2.27,0.71,3.04,0.07,0.0,0.02,0.03,0.01,0.22,0.0,0.02,0.98
Bellarmine,4,102,41,149,6,0,3,6,3,4,0,2.67,1.92,0.77,2.81,0.11,0.0,0.06,0.11,0.06,0.08,0.0,0.05,0.96
Belmont,12,312,98,424,14,0,0,21,4,18,0,7.63,2.36,0.74,3.21,0.11,0.0,0.0,0.16,0.03,0.14,0.0,0.06,0.97
Bethune-Cookman,11,272,75,358,11,0,3,12,7,18,0,5.25,2.25,0.62,2.96,0.09,0.0,0.02,0.1,0.06,0.15,0.0,0.04,0.97
Binghamton,3,72,23,98,3,0,2,3,1,7,0,2.0,2.06,0.66,2.8,0.09,0.0,0.06,0.09,0.03,0.2,0.0,0.06,0.97
Boston College,16,396,95,501,10,0,1,14,4,33,0,7.75,2.19,0.52,2.77,0.06,0.0,0.01,0.08,0.02,0.18,0.0,0.04,0.98
Bowling Green,47,1163,316,1520,41,0,5,80,10,62,0,31.37,2.49,0.68,3.25,0.09,0.0,0.01,0.17,0.02,0.13,0.0,0.07,0.97
Bradley,56,1342,453,1859,64,0,18,99,23,102,0,46.68,2.23,0.75,3.08,0.11,0.0,0.03,0.16,0.04,0.17,0.0,0.08,0.97
Brown,37,935,328,1300,37,0,7,66,20,82,0,22.7,2.56,0.9,3.56,0.1,0.0,0.02,0.18,0.05,0.22,0.0,0.06,0.97
Bryant,1,20,4,25,1,0,0,2,0,0,0,1.0,1.54,0.31,1.92,0.08,0.0,0.0,0.15,0.0,0.0,0.0,0.08,0.96
Bucknell,4,98,29,133,6,0,0,10,0,9,0,3.0,2.09,0.62,2.83,0.13,0.0,0.0,0.21,0.0,0.19,0.0,0.06,0.95
