team,G,IP,H,R,ER,BB,SO,BF,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,KL,TUER,pickoffs,IP_mean,H_mean,R_mean,ER_mean,BB_mean,SO_mean,BF_mean,2B-A_mean,3B-A_mean,Bk_mean,HR-A_mean,WP_mean,HB_mean,IBB_mean,Inh Run_mean,Inh Run Score_mean,SHA_mean,SFA_mean,KL_mean,TUER_mean,pickoffs_mean,ERA,WHIP,K/9
A&M-Corpus Christi,12,94.2,111,84,76,59,99,490,15,2,2,18,12,15,0,52,18,2,2,8,0,1,1.78,2.09,1.58,1.43,1.11,1.87,9.25,0.28,0.04,0.04,0.34,0.23,0.28,0.0,0.98,0.34,0.04,0.04,0.15,0.0,0.02,7.26,1.8,9.46
Abilene Christian,39,306.7,383,298,269,208,292,1617,75,3,3,54,35,60,8,74,36,15,21,59,0,4,1.86,2.32,1.81,1.63,1.26,1.77,9.8,0.45,0.02,0.02,0.33,0.21,0.36,0.05,0.45,0.22,0.09,0.13,0.36,0.0,0.02,7.89,1.93,8.57
Air Force,24,182.2,241,183,165,110,163,955,57,10,2,23,21,32,1,51,35,7,14,40,0,3,1.86,2.46,1.87,1.68,1.12,1.66,9.74,0.58,0.1,0.02,0.23,0.21,0.33,0.01,0.52,0.36,0.07,0.14,0.41,0.0,0.03,8.15,1.93,8.05
Akron,33,255.3,319,276,239,195,212,1393,63,7,0,43,28,67,4,21,12,18,13,68,0,7,1.88,2.35,2.03,1.76,1.43,1.56,10.24,0.46,0.05,0.0,0.32,0.21,0.49,0.03,0.15,0.09,0.13,0.1,0.5,0.0,0.05,8.43,2.01,7.47
Alabama,31,250.2,236,172,138,125,270,1183,45,2,1,32,16,33,3,70,30,12,10,72,0,4,2.02,1.9,1.39,1.11,1.01,2.18,9.54,0.36,0.02,0.01,0.26,0.13,0.27,0.02,0.56,0.24,0.1,0.08,0.58,0.0,0.03,4.96,1.44,9.71
Alabama A&M,11,82.3,122,107,91,71,60,490,26,4,0,9,19,25,0,25,16,9,6,17,0,0,1.55,2.3,2.02,1.72,1.34,1.13,9.25,0.49,0.08,0.0,0.17,0.36,0.47,0.0,0.47,0.3,0.17,0.11,0.32,0.0,0.0,9.95,2.35,6.56
Alabama St.,10,74.9,100,88,74,54,69,408,14,5,1,9,8,12,0,12,6,7,7,24,0,2,1.92,2.56,2.26,1.9,1.38,1.77,10.46,0.36,0.13,0.03,0.23,0.21,0.31,0.0,0.31,0.15,0.18,0.18,0.62,0.0,0.05,8.89,2.06,8.29
Alcorn,48,335.3,537,563,446,404,308,2140,114,23,21,30,67,103,3,50,25,19,31,79,0,22,1.75,2.8,2.93,2.32,2.1,1.6,11.15,0.59,0.12,0.11,0.16,0.35,0.54,0.02,0.26,0.13,0.1,0.16,0.41,0.0,0.11,11.97,2.81,8.27
App State,41,330.8,344,257,220,180,339,1662,67,2,2,37,44,80,2,56,33,14,19,106,0,4,1.74,1.81,1.35,1.16,0.95,1.78,8.75,0.35,0.01,0.01,0.19,0.23,0.42,0.01,0.29,0.17,0.07,0.1,0.56,0.0,0.02,5.99,1.58,9.22
Arizona,16,130.0,163,108,98,49,143,640,25,2,1,15,19,15,3,41,26,21,3,33,0,4,1.88,2.36,1.57,1.42,0.71,2.07,9.28,0.36,0.03,0.01,0.22,0.28,0.22,0.04,0.59,0.38,0.3,0.04,0.48,0.0,0.06,6.78,1.63,9.9
Arizona St.,20,159.8,199,129,119,89,227,827,36,3,2,23,27,21,0,48,24,9,9,38,0,3,1.52,1.9,1.23,1.13,0.85,2.16,7.88,0.34,0.03,0.02,0.22,0.26,0.2,0.0,0.46,0.23,0.09,0.09,0.36,0.0,0.03,6.7,1.8,12.78
