game_id,error
6483556,"Unknown datetime string format, unable to parse: 02/14/2026 TBA, at position 0"
6483562,"Unknown datetime string format, unable to parse: 03/04/2026 TBA, at position 0"
6486250,"Unknown datetime string format, unable to parse: 03/03/2026 TBA, at position 0"
6486255,"Unknown datetime string format, unable to parse: 03/13/2026 TBA, at position 0"
6486256,"Unknown datetime string format, unable to parse: 03/14/2026 TBA, at position 0"
6486627,"Unknown datetime string format, unable to parse: 02/25/2026 TBA, at position 0"
6486633,"Unknown datetime string format, unable to parse: 03/06/2026 TBA, at position 0"
6489255,"Unknown datetime string format, unable to parse: 02/14/2026 TBA, at position 0"
6489262,"Unknown datetime string format, unable to parse: 02/22/2026 TBA, at position 0"
6489268,"Unknown datetime string format, unable to parse: 03/07/2026 TBA, at position 0"
6489280,"Unknown datetime string format, unable to parse: 03/27/2026 TBA, at position 0"
6489281,"Unknown datetime string format, unable to parse: 03/28/2026 TBA, at position 0"
6489282,"Unknown datetime string format, unable to parse: 03/29/2026 TBA, at position 0"
6490187,"Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""table"") to be visible
"
6490188,"Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""table"") to be visible
"
6490189,"Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""table"") to be visible
"
6490193,"Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""table"") to be visible
"
6500631,"Page.wait_for_timeout: Target page, context or browser has been closed"
6500632,"Page.goto: Target page, context or browser has been closed"
6500634,"Page.goto: Target page, context or browser has been closed"
6500635,"Page.goto: Target page, context or browser has been closed"
6500637,"Page.goto: Target page, context or browser has been closed"
6500638,"Page.goto: Target page, context or browser has been closed"
6500639,"Page.goto: Target page, context or browser has been closed"
6500640,"Page.goto: Target page, context or browser has been closed"
6500641,"Page.goto: Target page, context or browser has been closed"
6500642,"Page.goto: Target page, context or browser has been closed"
6500643,"Page.goto: Target page, context or browser has been closed"
6500644,"Page.goto: Target page, context or browser has been closed"
6500645,"Page.goto: Target page, context or browser has been closed"
6500646,"Page.goto: Target page, context or browser has been closed"
6500647,"Page.goto: Target page, context or browser has been closed"
6500648,"Page.goto: Target page, context or browser has been closed"
6500649,"Page.goto: Target page, context or browser has been closed"
6500650,"Page.goto: Target page, context or browser has been closed"
6500651,"Page.goto: Target page, context or browser has been closed"
6500652,"Page.goto: Target page, context or browser has been closed"
6500653,"Page.goto: Target page, context or browser has been closed"
6500654,"Page.goto: Target page, context or browser has been closed"
6500655,"Page.goto: Target page, context or browser has been closed"
6500657,"Page.goto: Target page, context or browser has been closed"
6500658,"Page.goto: Target page, context or browser has been closed"
6500659,"Page.goto: Target page, context or browser has been closed"
6500662,"Page.goto: Target page, context or browser has been closed"
6500938,"Page.goto: Target page, context or browser has been closed"
6500939,"Page.goto: Target page, context or browser has been closed"
6500940,"Page.goto: Target page, context or browser has been closed"
6500941,"Page.goto: Target page, context or browser has been closed"
6500942,"Page.goto: Target page, context or browser has been closed"
6500943,"Page.goto: Target page, context or browser has been closed"
6500944,"Page.goto: Target page, context or browser has been closed"
6500945,"Page.goto: Target page, context or browser has been closed"
6500946,"Page.goto: Target page, context or browser has been closed"
6500947,"Page.goto: Target page, context or browser has been closed"
6500948,"Page.goto: Target page, context or browser has been closed"
6500949,"Page.goto: Target page, context or browser has been closed"
6500950,"Page.goto: Target page, context or browser has been closed"
6500951,"Page.goto: Target page, context or browser has been closed"
6500952,"Page.goto: Target page, context or browser has been closed"
6500953,"Page.goto: Target page, context or browser has been closed"
6500954,"Page.goto: Target page, context or browser has been closed"
6500955,"Page.goto: Target page, context or browser has been closed"
6501266,"Page.goto: Target page, context or browser has been closed"
6501270,"Page.goto: Target page, context or browser has been closed"
6501271,"Page.goto: Target page, context or browser has been closed"
6501272,"Page.goto: Target page, context or browser has been closed"
6501273,"Page.goto: Target page, context or browser has been closed"
6501274,"Page.goto: Target page, context or browser has been closed"
6501275,"Page.goto: Target page, context or browser has been closed"
6501276,"Page.goto: Target page, context or browser has been closed"
6501277,"Page.goto: Target page, context or browser has been closed"
6501280,"Page.goto: Target page, context or browser has been closed"
6501281,"Page.goto: Target page, context or browser has been closed"
6501282,"Page.goto: Target page, context or browser has been closed"
6501284,"Page.goto: Target page, context or browser has been closed"
6501285,"Page.goto: Target page, context or browser has been closed"
6501286,"Page.goto: Target page, context or browser has been closed"
6501287,"Page.goto: Target page, context or browser has been closed"
6501288,"Page.goto: Target page, context or browser has been closed"
6501289,"Page.goto: Target page, context or browser has been closed"
6501290,"Page.goto: Target page, context or browser has been closed"
6501292,"Page.goto: Target page, context or browser has been closed"
6501294,"Page.goto: Target page, context or browser has been closed"
6501296,"Page.goto: Target page, context or browser has been closed"
6501297,"Page.goto: Target page, context or browser has been closed"
6501299,"Page.goto: Target page, context or browser has been closed"
6501300,"Page.goto: Target page, context or browser has been closed"
6501304,"Page.goto: Target page, context or browser has been closed"
6501306,"Page.goto: Target page, context or browser has been closed"
6501307,"Page.goto: Target page, context or browser has been closed"
6501371,"Page.goto: Target page, context or browser has been closed"
6501413,"Page.goto: Target page, context or browser has been closed"
6501416,"Page.goto: Target page, context or browser has been closed"
6501418,"Page.goto: Target page, context or browser has been closed"
6501420,"Page.goto: Target page, context or browser has been closed"
6501422,"Page.goto: Target page, context or browser has been closed"
6501425,"Page.goto: Target page, context or browser has been closed"
6501428,"Page.goto: Target page, context or browser has been closed"
6501429,"Page.goto: Target page, context or browser has been closed"
6501430,"Page.goto: Target page, context or browser has been closed"
6501432,"Page.goto: Target page, context or browser has been closed"
6501433,"Page.goto: Target page, context or browser has been closed"
6501436,"Page.goto: Target page, context or browser has been closed"
6501437,"Page.goto: Target page, context or browser has been closed"
6501439,"Page.goto: Target page, context or browser has been closed"
6501440,"Page.goto: Target page, context or browser has been closed"
6501442,"Page.goto: Target page, context or browser has been closed"
6501444,"Page.goto: Target page, context or browser has been closed"
6501446,"Page.goto: Target page, context or browser has been closed"
6501447,"Page.goto: Target page, context or browser has been closed"
6501449,"Page.goto: Target page, context or browser has been closed"
6501450,"Page.goto: Target page, context or browser has been closed"
6501452,"Page.goto: Target page, context or browser has been closed"
6501454,"Page.goto: Target page, context or browser has been closed"
6501455,"Page.goto: Target page, context or browser has been closed"
6501458,"Page.goto: Target page, context or browser has been closed"
6501459,"Page.goto: Target page, context or browser has been closed"
6501461,"Page.goto: Target page, context or browser has been closed"
6501463,"Page.goto: Target page, context or browser has been closed"
6501466,"Page.goto: Target page, context or browser has been closed"
6501468,"Page.goto: Target page, context or browser has been closed"
6501469,"Page.goto: Target page, context or browser has been closed"
6501471,"Page.goto: Target page, context or browser has been closed"
6501473,"Page.goto: Target page, context or browser has been closed"
6501474,"Page.goto: Target page, context or browser has been closed"
6501475,"Page.goto: Target page, context or browser has been closed"
6501477,"Page.goto: Target page, context or browser has been closed"
6501479,"Page.goto: Target page, context or browser has been closed"
6501480,"Page.goto: Target page, context or browser has been closed"
6501483,"Page.goto: Target page, context or browser has been closed"
6501484,"Page.goto: Target page, context or browser has been closed"
6501485,"Page.goto: Target page, context or browser has been closed"
6501486,"Page.goto: Target page, context or browser has been closed"
6501543,"Page.goto: Target page, context or browser has been closed"
6501552,"Page.goto: Target page, context or browser has been closed"
6501566,"Page.goto: Target page, context or browser has been closed"
6501571,"Page.goto: Target page, context or browser has been closed"
6501578,"Page.goto: Target page, context or browser has been closed"
6501580,"Page.goto: Target page, context or browser has been closed"
6501583,"Page.goto: Target page, context or browser has been closed"
6501584,"Page.goto: Target page, context or browser has been closed"
6501587,"Page.goto: Target page, context or browser has been closed"
6501588,"Page.goto: Target page, context or browser has been closed"
6501589,"Page.goto: Target page, context or browser has been closed"
6501591,"Page.goto: Target page, context or browser has been closed"
6501594,"Page.goto: Target page, context or browser has been closed"
6501595,"Page.goto: Target page, context or browser has been closed"
6501598,"Page.goto: Target page, context or browser has been closed"
6501600,"Page.goto: Target page, context or browser has been closed"
6501610,"Page.goto: Target page, context or browser has been closed"
6501611,"Page.goto: Target page, context or browser has been closed"
6501613,"Page.goto: Target page, context or browser has been closed"
6501614,"Page.goto: Target page, context or browser has been closed"
6501616,"Page.goto: Target page, context or browser has been closed"
6501618,"Page.goto: Target page, context or browser has been closed"
6501619,"Page.goto: Target page, context or browser has been closed"
6501621,"Page.goto: Target page, context or browser has been closed"
6501625,"Page.goto: Target page, context or browser has been closed"
6501629,"Page.goto: Target page, context or browser has been closed"
6501630,"Page.goto: Target page, context or browser has been closed"
6501633,"Page.goto: Target page, context or browser has been closed"
6501634,"Page.goto: Target page, context or browser has been closed"
6501636,"Page.goto: Target page, context or browser has been closed"
6501641,"Page.goto: Target page, context or browser has been closed"
6501644,"Page.goto: Target page, context or browser has been closed"
6501646,"Page.goto: Target page, context or browser has been closed"
6501647,"Page.goto: Target page, context or browser has been closed"
6501653,"Page.goto: Target page, context or browser has been closed"
6501655,"Page.goto: Target page, context or browser has been closed"
6501658,"Page.goto: Target page, context or browser has been closed"
6501660,"Page.goto: Target page, context or browser has been closed"
6501662,"Page.goto: Target page, context or browser has been closed"
6501665,"Page.goto: Target page, context or browser has been closed"
6501668,"Page.goto: Target page, context or browser has been closed"
6501670,"Page.goto: Target page, context or browser has been closed"
6501735,"Page.goto: Target page, context or browser has been closed"
6501739,"Page.goto: Target page, context or browser has been closed"
6501742,"Page.goto: Target page, context or browser has been closed"
6501748,"Page.goto: Target page, context or browser has been closed"
6501751,"Page.goto: Target page, context or browser has been closed"
6501754,"Page.goto: Target page, context or browser has been closed"
6501755,"Page.goto: Target page, context or browser has been closed"
6501758,"Page.goto: Target page, context or browser has been closed"
6501759,"Page.goto: Target page, context or browser has been closed"
6501760,"Page.goto: Target page, context or browser has been closed"
6501761,"Page.goto: Target page, context or browser has been closed"
6501763,"Page.goto: Target page, context or browser has been closed"
6501764,"Page.goto: Target page, context or browser has been closed"
6501765,"Page.goto: Target page, context or browser has been closed"
6501766,"Page.goto: Target page, context or browser has been closed"
6501769,"Page.goto: Target page, context or browser has been closed"
6501772,"Page.goto: Target page, context or browser has been closed"
6501775,"Page.goto: Target page, context or browser has been closed"
6501776,"Page.goto: Target page, context or browser has been closed"
6501777,"Page.goto: Target page, context or browser has been closed"
6501778,"Page.goto: Target page, context or browser has been closed"
6501779,"Page.goto: Target page, context or browser has been closed"
6501780,"Page.goto: Target page, context or browser has been closed"
6501782,"Page.goto: Target page, context or browser has been closed"
6501783,"Page.goto: Target page, context or browser has been closed"
6501785,"Page.goto: Target page, context or browser has been closed"
6501786,"Page.goto: Target page, context or browser has been closed"
6501787,"Page.goto: Target page, context or browser has been closed"
6501790,"Page.goto: Target page, context or browser has been closed"
6501791,"Page.goto: Target page, context or browser has been closed"
6501792,"Page.goto: Target page, context or browser has been closed"
6501793,"Page.goto: Target page, context or browser has been closed"
6501796,"Page.goto: Target page, context or browser has been closed"
6501858,"Page.goto: Target page, context or browser has been closed"
6501861,"Page.goto: Target page, context or browser has been closed"
6501867,"Page.goto: Target page, context or browser has been closed"
6501869,"Page.goto: Target page, context or browser has been closed"
6501871,"Page.goto: Target page, context or browser has been closed"
6501872,"Page.goto: Target page, context or browser has been closed"
6501874,"Page.goto: Target page, context or browser has been closed"
6501875,"Page.goto: Target page, context or browser has been closed"
6501876,"Page.goto: Target page, context or browser has been closed"
6501877,"Page.goto: Target page, context or browser has been closed"
6501878,"Page.goto: Target page, context or browser has been closed"
6501881,"Page.goto: Target page, context or browser has been closed"
6501884,"Page.goto: Target page, context or browser has been closed"
6501888,"Page.goto: Target page, context or browser has been closed"
6501890,"Page.goto: Target page, context or browser has been closed"
6501893,"Page.goto: Target page, context or browser has been closed"
6501894,"Page.goto: Target page, context or browser has been closed"
6501896,"Page.goto: Target page, context or browser has been closed"
6501898,"Page.goto: Target page, context or browser has been closed"
6501900,"Page.goto: Target page, context or browser has been closed"
6501903,"Page.goto: Target page, context or browser has been closed"
