team_id,team
614848,Alabama (SEC)
614852,App State (Sun Belt)
614767,Arizona (Big 12)
614853,Arizona St. (Big 12)
614855,Arkansas (SEC)
614854,Arkansas St. (Sun Belt)
614857,Auburn (SEC)
614867,BYU (Big 12)
614861,Baylor (Big 12)
614864,Boston College (ACC)
614572,California (ACC)
614844,California Baptist (WAC)
614825,Central Ark. (ASUN)
614581,Central Mich. (MAC)
614676,Charlotte (American)
614582,Cincinnati (Big 12)
614584,Clemson (ACC)
614585,Coastal Carolina (Sun Belt)
614769,Duke (ACC)
614841,FGCU (ASUN)
614607,Florida (SEC)
614606,Florida St. (ACC)
614612,Ga. Southern (Sun Belt)
614615,Georgia (SEC)
614613,Georgia St. (Sun Belt)
614614,Georgia Tech (ACC)
614622,Houston (Big 12)
614624,Illinois (Big Ten)
614627,Indiana (Big Ten)
614630,Iowa (Big Ten)
614634,James Madison (Sun Belt)
614636,Kansas (Big 12)
614635,Kansas St. (Big 12)
614638,Kentucky (SEC)
614644,LSU (SEC)
614748,Louisiana (Sun Belt)
614646,Louisville (ACC)
614652,Marshall (Sun Belt)
614654,Maryland (Big Ten)
614661,Miami (FL) (ACC)
614663,Michigan (Big Ten)
614662,Michigan St. (Big Ten)
614665,Minnesota (Big Ten)
614666,Mississippi St. (SEC)
614669,Missouri (SEC)
614689,NC State (ACC)
614773,Nebraska (Big Ten)
614675,North Carolina (ACC)
614697,Northwestern (Big Ten)
614698,Notre Dame (ACC)
614700,Ohio St. (Big Ten)
614702,Oklahoma (SEC)
614775,Oklahoma St. (Big 12)
614703,Old Dominion (Sun Belt)
614668,Ole Miss (SEC)
614705,Oregon (Big Ten)
614704,Oregon St. (DI Independent)
614708,Penn St. (Big Ten)
614710,Pittsburgh (ACC)
614714,Purdue (Big Ten)
614721,Rutgers (Big Ten)
614734,Santa Clara (WCC)
614737,South Alabama (Sun Belt)
614738,South Carolina (SEC)
614742,Southern California (Big Ten)
614780,Southern Miss. (Sun Belt)
614749,Stanford (ACC)
614789,TCU (Big 12)
614782,Tennessee (SEC)
614793,Texas (SEC)
614788,Texas A&M (SEC)
614747,Texas St. (Sun Belt)
614791,Texas Tech (Big 12)
614797,Troy (Sun Belt)
614580,UCF (Big 12)
614575,UCLA (Big Ten)
614691,ULM (Sun Belt)
614800,Utah (Big 12)
614802,Vanderbilt (SEC)
614807,Virginia (ACC)
614806,Virginia Tech (ACC)
614809,Wake Forest (ACC)
614811,Washington (Big Ten)
614812,West Virginia (Big 12)
