#,Name,P,IP,H,R,ER,BB,SO,BF,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,KL,TUER,pickoffs,game_id,team,opponent,home,date
28.0,Trevor Hansen,P,6.0,1,0,0,2,11,21,1,0,0,0,0,0,0,0,0,0,0,5,0,0,6437824,UC Irvine,Sacramento St.,False,2026-02-13
42.0,Ryder Brooks,P,3.0,0,0,0,1,5,10,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6437824,UC Irvine,Sacramento St.,False,2026-02-13
21.0,Ethan Lay,P,5.0,2,0,0,1,8,21,1,0,0,0,0,1,0,0,0,0,0,2,0,0,6437824,Sacramento St.,UC Irvine,True,2026-02-13
18.0,Andrew Monson,P,1.1,3,4,4,0,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6437824,Sacramento St.,UC Irvine,True,2026-02-13
45.0,Bryce Stockton,P,0.1,2,1,1,0,1,4,1,0,0,0,0,1,0,2,2,0,0,0,0,0,6437824,Sacramento St.,UC Irvine,True,2026-02-13
30.0,Jackson Halverson,P,1.1,0,0,0,1,1,5,0,0,0,0,0,0,0,3,1,0,0,1,0,0,6437824,Sacramento St.,UC Irvine,True,2026-02-13
20.0,Chase Sorlie,P,1.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6437824,Sacramento St.,UC Irvine,True,2026-02-13
41.0,Alec Belardes,P,5.0,6,4,4,1,8,24,0,2,0,0,0,2,0,0,0,0,1,2,0,0,6437827,San Diego St.,UC Irvine,False,2026-02-18
31.0,Connor Abadie,P,1.0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6437827,San Diego St.,UC Irvine,False,2026-02-18
40.0,Evan Miranda,P,0.1,3,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6437827,San Diego St.,UC Irvine,False,2026-02-18
39.0,Issac Araiza,P,0.2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6437827,San Diego St.,UC Irvine,False,2026-02-18
27.0,Chris Canavan,P,1.0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6437827,San Diego St.,UC Irvine,False,2026-02-18
11.0,Jack Ross,P,4.1,2,1,1,0,3,16,0,1,0,0,0,1,0,0,0,0,0,1,0,0,6437827,UC Irvine,San Diego St.,True,2026-02-18
17.0,Dane Grant,P,1.0,1,0,0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6437827,UC Irvine,San Diego St.,True,2026-02-18
40.0,Hunter Manning,P,1.0,1,0,0,0,3,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6437827,UC Irvine,San Diego St.,True,2026-02-18
42.0,Ryder Brooks,P,1.2,0,0,0,0,2,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6437827,UC Irvine,San Diego St.,True,2026-02-18
30.0,Peyton Rodgers,P,1.0,2,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6437827,UC Irvine,San Diego St.,True,2026-02-18
87.0,Oliver de la Torre,P,4.0,4,2,2,0,4,16,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6437828,California,UC Irvine,False,2026-02-20
52.0,Quinn Larson,P,2.1,4,3,0,1,5,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6437828,California,UC Irvine,False,2026-02-20
19.0,Ryan Spalliero,P,0.2,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6437828,California,UC Irvine,False,2026-02-20
10.0,Garrett Mackowiak,P,0.0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6437828,California,UC Irvine,False,2026-02-20
