team_id,team
614839,A&M-Corpus Christi (Southland)
614845,Abilene Christian (WAC)
614798,Air Force (Mountain West)
614787,Akron (MAC)
614848,Alabama (SEC)
614846,Alabama A&M (SWAC)
614847,Alabama St. (SWAC)
614851,Alcorn (SWAC)
614852,App State (Sun Belt)
614767,Arizona (Big 12)
614853,Arizona St. (Big 12)
614834,Ark.-Pine Bluff (SWAC)
614855,Arkansas (SEC)
614854,Arkansas St. (Sun Belt)
614763,Army West Point (Patriot)
614857,Auburn (SEC)
614858,Austin Peay (ASUN)
614867,BYU (Big 12)
614859,Ball St. (MAC)
614861,Baylor (Big 12)
614754,Bellarmine (ASUN)
614838,Belmont (MVC)
614862,Bethune-Cookman (SWAC)
614863,Binghamton (America East)
614864,Boston College (ACC)
614865,Bowling Green (MAC)
614866,Bradley (MVC)
614868,Brown (Ivy League)
614869,Bryant (America East)
614563,Bucknell (Patriot)
614564,Butler (Big East)
614566,CSU Bakersfield (Big West)
614569,CSUN (Big West)
614565,Cal Poly (Big West)
614567,Cal St. Fullerton (Big West)
614572,California (ACC)
614844,California Baptist (WAC)
614577,Campbell (CAA)
614578,Canisius (MAAC)
614825,Central Ark. (ASUN)
614579,Central Conn. St. (NEC)
614581,Central Mich. (MAC)
614860,Charleston So. (Big South)
614676,Charlotte (American)
614582,Cincinnati (Big 12)
614584,Clemson (ACC)
614585,Coastal Carolina (Sun Belt)
614827,Col. of Charleston (CAA)
614586,Columbia (Ivy League)
614588,Coppin St. (NEC)
614589,Cornell (Ivy League)
614590,Creighton (Big East)
614764,DBU (CUSA)
614591,Dartmouth (Ivy League)
614592,Davidson (Atlantic 10)
614593,Dayton (Atlantic 10)
614595,Delaware (CUSA)
614594,Delaware St. (NEC)
614769,Duke (ACC)
614597,ETSU (SoCon)
614596,East Carolina (American)
614598,Eastern Ill. (OVC)
614599,Eastern Ky. (ASUN)
614600,Eastern Mich. (MAC)
614828,Elon (CAA)
614770,Evansville (MVC)
614602,FDU (NEC)
614841,FGCU (ASUN)
614605,FIU (CUSA)
614601,Fairfield (MAAC)
614604,Fla. Atlantic (American)
614607,Florida (SEC)
614603,Florida A&M (SWAC)
614606,Florida St. (ACC)
614608,Fordham (Atlantic 10)
614768,Fresno St. (Mountain West)
614612,Ga. Southern (Sun Belt)
614829,Gardner-Webb (Big South)
614609,George Mason (Atlantic 10)
614610,George Washington (Atlantic 10)
614611,Georgetown (Big East)
614615,Georgia (SEC)
614613,Georgia St. (Sun Belt)
614614,Georgia Tech (ACC)
614616,Gonzaga (WCC)
614771,Grambling (SWAC)
614830,Grand Canyon (Mountain West)
614617,Harvard (Ivy League)
614618,Hawaii (Big West)
614766,High Point (Big South)
614619,Hofstra (CAA)
614620,Holy Cross (Patriot)
614622,Houston (Big 12)
614621,Houston Christian (Southland)
614624,Illinois (Big Ten)
614623,Illinois St. (MVC)
614627,Indiana (Big Ten)
614626,Indiana St. (MVC)
614629,Iona (MAAC)
614630,Iowa (Big Ten)
614631,Jackson St. (SWAC)
614633,Jacksonville (ASUN)
614632,Jacksonville St. (CUSA)
614634,James Madison (Sun Belt)
614636,Kansas (Big 12)
614635,Kansas St. (Big 12)
614831,Kennesaw St. (CUSA)
614637,Kent St. (MAC)
614638,Kentucky (SEC)
614772,LIU (NEC)
614648,LMU (CA) (WCC)
614644,LSU (SEC)
621265,La Salle (Atlantic 10)
614639,Lafayette (Patriot)
614640,Lamar University (Southland)
614641,Lehigh (Patriot)
614642,Liberty (CUSA)
614756,Lindenwood (OVC)
614840,Lipscomb (ASUN)
614856,Little Rock (OVC)
614568,Long Beach St. (Big West)
614643,Longwood (Big South)
614748,Louisiana (Sun Belt)
614645,Louisiana Tech (CUSA)
614646,Louisville (ACC)
614649,Maine (America East)
614650,Manhattan (MAAC)
614651,Marist (MAAC)
614652,Marshall (Sun Belt)
614654,Maryland (Big Ten)
614656,Massachusetts (MAC)
614657,McNeese (Southland)
